Id,Name,Age,Address,Phone Number,Email,ECTS,Semester
sdi251,Andreas Aggelakos,23,Galani 923,+306934278748,sdi251@di.uoa.gr,240,9
sdi252,Apostolos Karamanos,23,Kokkinws 578,+306922374189,sdi252@di.uoa.gr,240,9
sdi261,Petros Mitropoulos,22,Efstathiadi 83,+306994513019,sdi261@di.uoa.gr,180,7
sdi262,Dhmos Iwannou,22,Papazoglou 679,+306914275841,sdi262@di.uoa.gr,180,7
sdi271,Kosmas Lampropoulos,21,Leoforos Athanasiadi 747,+306933223947,sdi271@di.uoa.gr,120,4
sdi272,Iakwvos Manousis,21,Leoforos Xaralampidou 93,+306908267132,sdi272@di.uoa.gr,120,4
sdi281,Anastasios Lagos,20,Leoforos Nikolopoulou 4,+306919480077,sdi281@di.uoa.gr,60,3
sdi282,Glykeria Renti,20,Georgiadou 700,+306978629417,sdi282@di.uoa.gr,60,3
sdi291,Eleni Bakogianni,19,Leoforos Argyrou 58,+302576127744,sdi291@di.uoa.gr,0,1
sdi292,Sofia Alexiou,19,Kokkinws 85,+302460870598,sdi292@di.uoa.gr,0,1
